Precio $,Dormitorios,Nombre,Tamaño mt2,Habitaciones,Sanitarios,Parqueos,Zona,Agente,Tipo de Propiedad,URL
$ 850 incluye mantenimiento,2,Zona 14,67,2,2,Info no disponible,"Zona 14, Guatemala",SDLinmobiliaria,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 1,100",3,Zona 14,225,3,2.5,Info no disponible,"Zona 14, Guatemala",Verónica Leal,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 1,950 VER DETALLES",2,Zona 14,228,2,2.5,Info no disponible,"Zona 14, Guatemala",Karla Sánchez,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 2,500 VER DETALLES",2,Zona 14,146,2,2.5,Info no disponible,"Zona 14, Guatemala",Karla Sánchez,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 1,250 Mas IVA",3,Zona 14,139,3,2,Info no disponible,"Zona 14, Guatemala",THE ONE Bienes Raices,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 2,700 mas IVA",2,Zona 14,295,2,2.5,Info no disponible,"Zona 14, Guatemala",Mariela Lam,Tipo no especificado,https://mapainmueble.com/area/zona-14/
$ 900,2,Zona 14,70,2,2,Info no disponible,"Zona 14, Guatemala",Rafael Blanco,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 2,800",2,Zona 14,240,2,2.5,Info no disponible,"Zona 14, Guatemala",Home Team Guatemala,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 2,800",2,Zona 14,240,2,2,Info no disponible,"Zona 14, Guatemala",Maricarmen Sánchez,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 1,950 con iva incluido",2,Zona 14,228,2,2.5,Info no disponible,"Zona 14, Guatemala",SDLinmobiliaria,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 2,970",2,Zona 14,295,2,2.5,Info no disponible,"Zona 14, Guatemala",Ximena Contreras Segovia,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 1,950 INCLUYE MANTTO E IVA",2,Zona 14,228,2,2.5,Info no disponible,"Zona 14, Guatemala",Negocios Integros,Tipo no especificado,https://mapainmueble.com/area/zona-14/
$ 875 IVA incluido,1,Zona 14,70,1,1,Info no disponible,"Zona 14, Guatemala",THE ONE Bienes Raices,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 1,950 IVA incluido",2,Zona 14,228,2,2,Info no disponible,"Zona 14, Guatemala",THE ONE Bienes Raices,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 2,200 $",2,Zona 14,295,2,2,Info no disponible,"Zona 14, Guatemala",Inmuebles 180,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 3,000",3,Zona 14,202,3,2.5,Info no disponible,"Zona 14, Guatemala",Maricarmen Sánchez,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 1,500",2,Zona 14,193,2,3.5,Info no disponible,"Zona 14, Guatemala",Juan Carlos Ramirez,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 2,200",2,Zona 14,160,2,2.5,Info no disponible,"Zona 14, Guatemala",Claudia Santiago,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 2,200",2,Zona 14,295,2,2.5,Info no disponible,"Zona 14, Guatemala",Claudia Santiago,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 2,200 Dólares",2,Zona 14,295,2,2.5,Info no disponible,"Zona 14, Guatemala",Ruth Mijangos,Tipo no especificado,https://mapainmueble.com/area/zona-14/
$ 775,1,Zona 14,67,1,1.5,Info no disponible,"Zona 14, Guatemala",Claudia Santiago,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 2,800",2,Zona 14,295,2,2.5,Info no disponible,"Zona 14, Guatemala",Ana Arenales,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 2,200 USD",2,Zona 14,295,2,2.5,Info no disponible,"Zona 14, Guatemala",Carla Peraza,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 2,700 mas iva",2,Zona 14,295,2,2.5,Info no disponible,"Zona 14, Guatemala",Michelle Ramirez,Tipo no especificado,https://mapainmueble.com/area/zona-14/
$ 900 AMOBLADO,1,Zona 14,96,1,1,Info no disponible,"Zona 14, Guatemala",Carmen Moreno,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 2,500 mant incluido + iva",2,Zona 14,145,2,2.5,Info no disponible,"Zona 14, Guatemala",AcBienes Raices,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 2,200 Mant incluido",2,Zona 14,152,2,2.5,Info no disponible,"Zona 14, Guatemala",María José Alonso,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 2,500",2,Zona 14,146,2,2.5,Info no disponible,"Zona 14, Guatemala",COINMSA Guatemala,Tipo no especificado,https://mapainmueble.com/area/zona-14/
$ 900,2,Zona 14,70,2,1,Info no disponible,"Zona 14, Guatemala",Ambiente Inmobiliario,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 2,200",2,Zona 14,160,2,2.5,Info no disponible,"Zona 14, Guatemala",Conexión Conexión Inmobiliaria GT,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 1,850",2,Zona 14,125,2,2,Info no disponible,"Zona 14, Guatemala",Conexión Conexión Inmobiliaria GT,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 1,200",3,Zona 14,102,3,2,Info no disponible,"Zona 14, Guatemala",Juan Carlos Ramirez,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 2,200",2,Zona 14,160,2,2.5,Info no disponible,"Zona 14, Guatemala",Monica Gomez,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 1,625",3,Zona 14,139,3,3,Info no disponible,"Zona 14, Guatemala",DK Real Estate,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 7,500",4,Zona 14,809,4,5,Info no disponible,"Zona 14, Guatemala",Immobili Real Estate,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 1,000",2,Zona 14,106,2,2,Info no disponible,"Zona 14, Guatemala",Francisco Estrada,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 1,800",2,Zona 14,Info no disponible,2,2.5,Info no disponible,"Zona 14, Guatemala",Bienes Cima,Tipo no especificado,https://mapainmueble.com/area/zona-14/
$ 900,2,Zona 14,120,2,2,Info no disponible,"Zona 14, Guatemala",Inmobiliaria Casa Yune,Tipo no especificado,https://mapainmueble.com/area/zona-14/
$ 875 con  iva y mantenimiento,1,Zona 14,72,1,1,Info no disponible,"Zona 14, Guatemala",SDLinmobiliaria,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 1,150 mantenimiento incluido",3,Zona 14,88,3,2,Info no disponible,"Zona 14, Guatemala",Maria Teresa Gochez,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 2,200",2,Zona 14,159,2,2,Info no disponible,"Zona 14, Guatemala",ÉCLAT ESTATE REAL ESTATE,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 1,000",2,Zona 14,106,2,2,Info no disponible,"Zona 14, Guatemala",Francisco Estrada,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 1,800",2,Zona 14,Info no disponible,2,2.5,Info no disponible,"Zona 14, Guatemala",Bienes Cima,Tipo no especificado,https://mapainmueble.com/area/zona-14/
$ 900,2,Zona 14,120,2,2,Info no disponible,"Zona 14, Guatemala",Inmobiliaria Casa Yune,Tipo no especificado,https://mapainmueble.com/area/zona-14/
$ 875 con  iva y mantenimiento,1,Zona 14,72,1,1,Info no disponible,"Zona 14, Guatemala",SDLinmobiliaria,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 1,150 mantenimiento incluido",3,Zona 14,88,3,2,Info no disponible,"Zona 14, Guatemala",Maria Teresa Gochez,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 2,200",2,Zona 14,159,2,2,Info no disponible,"Zona 14, Guatemala",ÉCLAT ESTATE REAL ESTATE,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 1,100",2,Zona 14,90,2,2,Info no disponible,"Zona 14, Guatemala",Maria Rosales,Tipo no especificado,https://mapainmueble.com/area/zona-14/
$ 950,1,Zona 14,Info no disponible,1,1.5,Info no disponible,"Zona 14, Guatemala",Ximena Contreras Segovia,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 2,200 Mas iva",2,Zona 14,200,2,2.5,Info no disponible,"Zona 14, Guatemala",Lorena Urrutia,Tipo no especificado,https://mapainmueble.com/area/zona-14/
$ 875,1,Zona 14,72,1,1,Info no disponible,"Zona 14, Guatemala",ACODI Inmobiliaria,Tipo no especificado,https://mapainmueble.com/area/zona-14/
$ 900,2,Zona 14,70,2,1,Info no disponible,"Zona 14, Guatemala",Diego Estrada,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 2,200 + IVA",3,Zona 14,249,3,2.5,Info no disponible,"Zona 14, Guatemala",Red Inmobiliaria Alicia Morales,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 1,000",1,Zona 14,100,1,2,Info no disponible,"Zona 14, Guatemala",ALQUILOGT,Tipo no especificado,https://mapainmueble.com/area/zona-14/
$ 875,1,Zona 14,72,1,1,Info no disponible,"Zona 14, Guatemala",AO Bienes Raíces,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 1,400 Mantenimiento incluido",3,Zona 14,136,3,2.5,Info no disponible,"Zona 14, Guatemala",Leonel Sánchez,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 3,200 Más mantenimiento e IVA",3,Zona 14,203,3,2.5,Info no disponible,"Zona 14, Guatemala",Amber Real Estate,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 1,250 +iva+mant",3,Zona 14,139,3,2.5,Info no disponible,"Zona 14, Guatemala",House & Home – Bienes Raíces,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 2,000",4,Zona 14,Info no disponible,4,2.5,Info no disponible,"Zona 14, Guatemala",INMOBILIARIA PROYMERCA,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 1,250 $",3,Zona 14,139,3,2.5,Info no disponible,"Zona 14, Guatemala",Inmuebles 180,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 3,565 mant incluido + iva",3,Zona 14,202,3,2.5,Info no disponible,"Zona 14, Guatemala",AcBienes Raices,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 1,500",2,Zona 14,105,2,2,Info no disponible,"Zona 14, Guatemala",Michelle Ramirez,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 1,475",3,Zona 14,139,3,2.5,Info no disponible,"Zona 14, Guatemala",COINMSA Guatemala,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 1,100",2,Zona 14,Info no disponible,2,2,Info no disponible,"Zona 14, Guatemala",INMOBILIARIA PROYMERCA,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 1,500 Mant. Incluido + iva",1,Zona 14,86,1,1.5,Info no disponible,"Zona 14, Guatemala",Astrid Rolz de Cuestas,Tipo no especificado,https://mapainmueble.com/area/zona-14/
"$ 1,480 mas IVA",3,Zona 14,139,3,2.5,Info no disponible,"Zona 14, Guatemala",Mariela Lam,Tipo no especificado,https://mapainmueble.com/area/zona-14/
