Precio,Tamaño de la propiedad,Parqueos,Dormitorios,Baños
"540,503",179.0,3.0,3.0,3.0
"155,000",55.0,1.0,2.0,1.0
"453,139",180.0,2.0,3.0,2.0
"123,160",55.0,1.0,2.0,2.0
"110,196",30.0,0.0,1.0,1.0
"173,720",70.0,2.0,3.0,2.0
"127,100",36.0,1.0,1.0,1.0
"170,310",65.0,0.0,2.0,2.0
"145,000",53.0,1.0,1.0,1.0
"201,593",80.0,2.0,2.0,2.0
"132,370",57.0,2.0,3.0,1.0
"187,414",63.0,1.0,1.0,1.5
"278,145",146.0,2.0,3.0,3.0
"185,278",87.0,1.0,3.0,2.0
"450,000",249.0,2.0,4.0,2.5
"350,000",145.0,2.0,3.0,2.5
"58,614",60.0,1.0,3.0,1.0
"292,000",85.0,2.0,2.0,2.0
"130,000",96.0,2.0,2.0,1.0
"125,000",53.0,1.0,1.0,1.0
"410,000",148.0,3.0,2.0,2.5
"190,000",104.0,2.0,2.0,2.0
"115,900",60.0,1.0,1.0,1.5
"120,000",57.0,0.0,1.0,1.0
"175,000",100.0,1.0,1.0,1.5
"265,000",132.0,0.0,2.0,2.5
"370,000",175.0,2.0,2.0,2.5
"120,000",57.0,0.0,1.0,1.0
"360,000",170.0,3.0,3.0,3.0
"360,000",170.0,3.0,3.0,3.0
"292,000",117.0,2.0,2.0,2.0
"650,000",272.0,3.0,3.0,3.5
"580,000",318.0,3.0,3.0,3.5
"445,398",48.0,1.0,3.0,1.0
"425,000",177.0,2.0,2.0,2.0
"109,000",36.0,0.0,1.0,1.0
"371,610",130.0,0.0,3.0,2.5
"392,092",137.0,0.0,2.0,2.5
"280,056",117.0,2.0,3.0,2.0
"155,000",46.0,1.0,1.0,1.0
"108,975",65.0,1.0,3.0,1.0
"255,000",107.0,2.0,3.0,2.0
"255,000",107.0,2.0,3.0,2.0
"255,000",107.0,2.0,3.0,2.0
"41,875",60.0,1.0,3.0,1.0
"250,000",86.0,2.0,1.0,1.5
"420,000",183.0,0.0,3.0,3.0
"475,000",310.0,3.0,3.0,3.5
"475,000",310.0,3.0,3.0,3.5
"168,900",67.0,2.0,2.0,2.0
"240,000",99.0,2.0,3.0,2.0
"200,000",90.0,2.0,3.0,2.0
"200,000",90.0,2.0,3.0,2.0
"109,500",62.0,2.0,3.0,1.0
"117,100",66.0,2.0,2.0,1.0
"123,400",75.0,2.0,3.0,2.0
"175,000",141.0,2.0,2.0,1.5
"875,000",310.0,3.0,3.0,2.5
"365,000",160.0,2.0,2.0,2.5
"230,000",118.0,2.0,2.0,2.5
"195,000",100.0,2.0,2.0,2.0
"280,000",200.0,2.0,3.0,2.0
"100,000",66.0,1.0,3.0,1.0
"140,000",86.0,1.0,2.0,2.0
"140,000",98.0,2.0,2.0,2.0
"135,000",95.0,2.0,1.0,2.0
